Date,Product,Predicted_Price_EGP
2028-01-01,frozen macaroni fish,326.7
2028-02-01,frozen macaroni fish,316.7
2028-03-01,frozen macaroni fish,321.14
2028-04-01,frozen macaroni fish,334.75
2028-05-01,frozen macaroni fish,343.85
2028-06-01,frozen macaroni fish,360.68
2028-07-01,frozen macaroni fish,365.45
2028-08-01,frozen macaroni fish,369.27
2028-09-01,frozen macaroni fish,373.61
2028-10-01,frozen macaroni fish,379.85
2028-11-01,frozen macaroni fish,385.08
2028-12-01,frozen macaroni fish,391.4
2026-04-01,garlic,77.48
2026-05-01,garlic,78.41
2026-06-01,garlic,79.35
2026-07-01,garlic,80.3
2026-08-01,garlic,81.26
2026-09-01,garlic,82.24
2026-10-01,garlic,83.23
2026-11-01,garlic,84.22
2026-12-01,garlic,85.23
2027-01-01,garlic,86.26
2027-02-01,garlic,87.29
2027-03-01,garlic,88.34
2027-04-01,garlic,89.4
2027-05-01,garlic,90.47
2027-06-01,garlic,94.82
2027-07-01,garlic,100.08
2027-08-01,garlic,108.03
2027-09-01,garlic,121.33
2027-10-01,garlic,139.35
2027-11-01,garlic,161.16
2027-12-01,garlic,185.99
2028-01-01,garlic,225.29
2028-02-01,garlic,265.46
2028-03-01,garlic,298.62
2028-04-01,garlic,311.42
2028-05-01,garlic,327.7
2028-06-01,garlic,344.91
2028-07-01,garlic,349.75
2028-08-01,garlic,353.35
2028-09-01,garlic,358.24
2028-10-01,garlic,364.55
2028-11-01,garlic,370.23
2028-12-01,garlic,375.99
2026-04-01,green beans,26.21
2026-05-01,green beans,28.03
2026-06-01,green beans,29.32
2026-07-01,green beans,31.78
2026-08-01,green beans,34.45
2026-09-01,green beans,38.61
2026-10-01,green beans,41.55
2026-11-01,green beans,45.69
2026-12-01,green beans,52.23
2027-01-01,green beans,59.17
2027-02-01,green beans,61.07
2027-03-01,green beans,62.88
2027-04-01,green beans,67.89
2027-05-01,green beans,71.7
2027-06-01,green beans,75.93
2027-07-01,green beans,81.61
2027-08-01,green beans,88.69
2027-09-01,green beans,95.52
2027-10-01,green beans,105.09
2027-11-01,green beans,119.79
2027-12-01,green beans,135.33
2028-01-01,green beans,157.24
2028-02-01,green beans,178.95
2028-03-01,green beans,214.13
2028-04-01,green beans,259.88
2028-05-01,green beans,320.45
2028-06-01,green beans,344.85
2028-07-01,green beans,349.69
2028-08-01,green beans,353.29
2028-09-01,green beans,358.18
2028-10-01,green beans,364.47
2028-11-01,green beans,370.1
2028-12-01,green beans,375.86
2026-04-01,green pepper,26.01
2026-05-01,green pepper,27.4
2026-06-01,green pepper,29.09
2026-07-01,green pepper,30.6
2026-08-01,green pepper,34.39
2026-09-01,green pepper,37.5
2026-10-01,green pepper,41.74
2026-11-01,green pepper,47.95
2026-12-01,green pepper,58.84
2027-01-01,green pepper,68.4
2027-02-01,green pepper,79.24
2027-03-01,green pepper,87.91
2027-04-01,green pepper,99.9
2027-05-01,green pepper,114.98
2027-06-01,green pepper,126.07
2027-07-01,green pepper,149.43
2027-08-01,green pepper,172.88
2027-09-01,green pepper,201.19
2027-10-01,green pepper,245.95
2027-11-01,green pepper,279.93
2027-12-01,green pepper,326.36
2028-01-01,green pepper,317.42
2028-02-01,green pepper,307.21
2028-03-01,green pepper,311.01
2028-04-01,green pepper,325.08
2028-05-01,green pepper,334.23
2028-06-01,green pepper,351.43
2028-07-01,green pepper,356.46
2028-08-01,green pepper,360.08
2028-09-01,green pepper,364.41
2028-10-01,green pepper,371.29
2028-11-01,green pepper,376.52
2028-12-01,green pepper,382.37
2026-04-01,guava,31.12
